../../01_Consensus/results/Diptera/02_Species_Fastas/Aedes_brelandi.fasta:>gi|1318842612|gb|MG242473.1| Ochlerotatus brelandi cytochrome oxidase subunit I (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637411|gb|MH143470.1| Enantia mazai voucher HYB-63 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637409|gb|MH143469.1| Enantia mazai voucher HYB-62 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637407|gb|MH143468.1| Enantia mazai voucher HYB-61 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637405|gb|MH143467.1| Enantia mazai voucher HYB-60 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637403|gb|MH143466.1| Enantia mazai voucher HYB-82 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637401|gb|MH143465.1| Enantia mazai voucher HYB-81 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637399|gb|MH143464.1| Enantia mazai voucher HYB-80 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637397|gb|MH143463.1| Enantia mazai voucher HYB-79 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637395|gb|MH143462.1| Enantia mazai voucher HYB-52 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637393|gb|MH143461.1| Enantia mazai voucher HYB-53 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637391|gb|MH143460.1| Enantia mazai voucher HYB-54 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637389|gb|MH143459.1| Enantia mazai voucher HYB-55 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637387|gb|MH143458.1| Enantia mazai voucher HYB-56 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637385|gb|MH143457.1| Enantia mazai voucher HYB-57 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637383|gb|MH143456.1| Enantia mazai voucher HYB-58 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637381|gb|MH143455.1| Enantia mazai voucher HYB-59 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637379|gb|MH143454.1| Enantia mazai voucher HYB-78 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637377|gb|MH143453.1| Enantia mazai voucher HYB-77 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637375|gb|MH143452.1| Enantia mazai voucher HYB-76 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637373|gb|MH143451.1| Enantia mazai voucher HYB-75 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637371|gb|MH143450.1| Enantia mazai voucher HYB-83 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637313|gb|MH143421.1| Enantia albania voucher HYB-22 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637311|gb|MH143420.1| Enantia albania voucher HYB-21 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637309|gb|MH143419.1| Enantia albania voucher HYB-20 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637307|gb|MH143418.1| Enantia albania voucher HYB-19 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637305|gb|MH143417.1| Enantia albania voucher HYB-18 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637303|gb|MH143416.1| Enantia albania voucher HYB-17 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637301|gb|MH143415.1| Enantia albania voucher HYB-16 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637299|gb|MH143414.1| Enantia albania voucher HYB-15 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637297|gb|MH143413.1| Enantia albania voucher HYB-14 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637295|gb|MH143412.1| Enantia albania voucher HYB-13 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637293|gb|MH143411.1| Enantia albania voucher HYB-12 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637291|gb|MH143410.1| Enantia albania voucher HYB-11 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637289|gb|MH143409.1| Enantia albania voucher HYB-10 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637287|gb|MH143408.1| Enantia albania voucher HYB-09 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637285|gb|MH143407.1| Enantia albania voucher HYB-08 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637283|gb|MH143406.1| Enantia albania voucher HYB-07 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637281|gb|MH143405.1| Enantia albania voucher HYB-06 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637279|gb|MH143404.1| Enantia albania voucher HYB-05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637277|gb|MH143403.1| Enantia albania voucher HYB-04 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637275|gb|MH143402.1| Enantia albania voucher HYB-03 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637273|gb|MH143401.1| Enantia albania voucher HYB-02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637271|gb|MH143400.1| Enantia albania voucher HYB-01 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_jethys.fasta:>gi|1390637269|gb|MH143399.1| Enantia albania voucher HYB-23 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637433|gb|MH143481.1| Enantia mazai voucher HYB-74 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637431|gb|MH143480.1| Enantia mazai voucher HYB-73 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637429|gb|MH143479.1| Enantia mazai voucher HYB-72 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637427|gb|MH143478.1| Enantia mazai voucher HYB-71 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637425|gb|MH143477.1| Enantia mazai voucher HYB-70 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637423|gb|MH143476.1| Enantia mazai voucher HYB-69 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637421|gb|MH143475.1| Enantia mazai voucher HYB-68 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637419|gb|MH143474.1| Enantia mazai voucher HYB-67 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637417|gb|MH143473.1| Enantia mazai voucher HYB-66 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637415|gb|MH143472.1| Enantia mazai voucher HYB-65 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637413|gb|MH143471.1| Enantia mazai voucher HYB-64 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637411|gb|MH143470.1| Enantia mazai voucher HYB-63 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637409|gb|MH143469.1| Enantia mazai voucher HYB-62 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637407|gb|MH143468.1| Enantia mazai voucher HYB-61 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637405|gb|MH143467.1| Enantia mazai voucher HYB-60 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637403|gb|MH143466.1| Enantia mazai voucher HYB-82 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637401|gb|MH143465.1| Enantia mazai voucher HYB-81 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637399|gb|MH143464.1| Enantia mazai voucher HYB-80 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637397|gb|MH143463.1| Enantia mazai voucher HYB-79 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637395|gb|MH143462.1| Enantia mazai voucher HYB-52 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637393|gb|MH143461.1| Enantia mazai voucher HYB-53 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637391|gb|MH143460.1| Enantia mazai voucher HYB-54 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637389|gb|MH143459.1| Enantia mazai voucher HYB-55 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637387|gb|MH143458.1| Enantia mazai voucher HYB-56 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637385|gb|MH143457.1| Enantia mazai voucher HYB-57 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637383|gb|MH143456.1| Enantia mazai voucher HYB-58 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637381|gb|MH143455.1| Enantia mazai voucher HYB-59 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637379|gb|MH143454.1| Enantia mazai voucher HYB-78 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637377|gb|MH143453.1| Enantia mazai voucher HYB-77 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637375|gb|MH143452.1| Enantia mazai voucher HYB-76 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637373|gb|MH143451.1| Enantia mazai voucher HYB-75 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1390637371|gb|MH143450.1| Enantia mazai voucher HYB-83 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354128|gb|KU146848.1| Enantia mazai mazai voucher MAL-05509 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354126|gb|KU146847.1| Enantia mazai mazai voucher MAL-05485 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354124|gb|KU146846.1| Enantia mazai mazai voucher MAL-05494 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354122|gb|KU146845.1| Enantia mazai mazai voucher JET-29 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354120|gb|KU146844.1| Enantia mazai mazai voucher MAL-05559 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354118|gb|KU146843.1| Enantia mazai mazai voucher MAL-05486 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354116|gb|KU146842.1| Enantia mazai mazai voucher JET-41 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354114|gb|KU146841.1| Enantia mazai mazai voucher JET-52 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354112|gb|KU146840.1| Enantia mazai mazai voucher JET-51 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354110|gb|KU146839.1| Enantia mazai mazai voucher JET-38 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354108|gb|KU146838.1| Enantia mazai mazai voucher MAL-05504 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354106|gb|KU146837.1| Enantia mazai mazai voucher JET-28 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354104|gb|KU146836.1| Enantia mazai mazai voucher JET-02 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354102|gb|KU146835.1| Enantia mazai mazai voucher JET-95 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354100|gb|KU146834.1| Enantia mazai mazai voucher MAL-05565 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354098|gb|KU146833.1| Enantia mazai mazai voucher MAL-05555 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354096|gb|KU146832.1| Enantia mazai mazai voucher MAL-05564 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354094|gb|KU146831.1| Enantia mazai mazai voucher MAL-05560 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354092|gb|KU146830.1| Enantia mazai mazai voucher MAL-05520 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354090|gb|KU146829.1| Enantia mazai mazai voucher JET-59 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354088|gb|KU146828.1| Enantia mazai mazai voucher JET-05 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354086|gb|KU146827.1| Enantia mazai mazai voucher JET-87 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354084|gb|KU146826.1| Enantia mazai mazai voucher MAL-05566 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354082|gb|KU146825.1| Enantia mazai mazai voucher JET-44 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354080|gb|KU146824.1| Enantia mazai mazai voucher MAL-05558 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354078|gb|KU146823.1| Enantia mazai mazai voucher JET-34 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354076|gb|KU146822.1| Enantia mazai mazai voucher JET-45 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354074|gb|KU146821.1| Enantia mazai mazai voucher JET-32 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354072|gb|KU146820.1| Enantia mazai mazai voucher JET-89 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354070|gb|KU146819.1| Enantia mazai mazai voucher JET-31 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354068|gb|KU146818.1| Enantia mazai mazai voucher MAL-05487 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354066|gb|KU146817.1| Enantia mazai mazai voucher MAL-05503 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354064|gb|KU146816.1| Enantia mazai mazai voucher MAL-05493 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354062|gb|KU146815.1| Enantia mazai mazai voucher MAL-05545 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354060|gb|KU146814.1| Enantia mazai mazai voucher MAL-05567 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354058|gb|KU146813.1| Enantia mazai mazai voucher MAL-05563 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354056|gb|KU146812.1| Enantia mazai mazai voucher JET-53 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354054|gb|KU146811.1| Enantia mazai mazai voucher MAL-05521 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354052|gb|KU146810.1| Enantia mazai mazai voucher JET-47 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354050|gb|KU146809.1| Enantia mazai mazai voucher JET-86 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354048|gb|KU146808.1| Enantia mazai mazai voucher MAL-05518 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354046|gb|KU146807.1| Enantia mazai mazai voucher JET-63 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354044|gb|KU146806.1| Enantia mazai mazai voucher JET-54 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354042|gb|KU146805.1| Enantia mazai mazai voucher MAL-05546 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354040|gb|KU146804.1| Enantia mazai mazai voucher JET-40 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354038|gb|KU146803.1| Enantia mazai mazai voucher MAL-05508 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354036|gb|KU146802.1| Enantia mazai mazai voucher MAL-05544 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
../../01_Consensus/results/Lepidoptera/02_Species_Fastas/Enantia_mazai.fasta:>gi|1084354034|gb|KU146801.1| Enantia mazai mazai voucher JET-39 cytochrome oxidase subunit 1 (COI) gene, partial cds; mitochondrial
